Species,site_id,gateway_hub_id,sensor_id,value1,value2,value3,value4
203,1001,arc1045,0b.EPA-1h.NOPK.EPA-24h,22.9,19.1,7.92,4.64
204,1001,arc1045,0b.EPA-1h.PKIND,1,1,17.95,16.74
205,1001,arc1045,0b.EPA-24h,22.9,19.1,1007.5,56.11
206,1001,arc1045,5a.EPA-1h,16.19,16.95,6.88,1007.1
207,1001,arc1045,5b.EPA-1h,52.93,56.14,16.45,7.67
208,1002,arc1046,0a.EPA-1h,4.9,5.4,56.71,16.84
209,1002,arc1046,0a.EPA-1h.NOPK,4.9,5.4,1005.8,55.88
265,1002,arc1046,5b,59.23,5.2,7.6,1007.7
210,1002,arc1046,0a.EPA-1h.NOPK.EPA-24h,4.4,1,16.12,7.6
211,1002,arc1046,0a.EPA-1h.PKIND,1,5.2,57.07,16.06
212,1002,arc1046,0a.EPA-24h,4.4,23.5,1006.7,56.33
213,1002,arc1046,0b.EPA-1h,20.9,20.9,6.84,1006.1
214,1002,arc1046,0b.EPA-1h.NOPK,20.9,21.4,5,7.06
215,1002,arc1046,0b.EPA-1h.NOPK.EPA-24h,20,43.3,18.9,16.2
